record_id,date,inventory_level,order_fulfillment_rate,supplier_performance
REC-95822412,2020-08-12,7370,96.95,67.34
REC-13356886,2019-11-18,2533,87.73,67.34
REC-42868828,2022-01-03,1367,93.89,61.86
REC-28728463,2021-10-01,875,85.52,96.37
REC-83197857,2021-07-26,7729,87.94,61.81
REC-89254563,2020-11-08,5563,90.92,71.74
REC-14265799,2020-07-16,2554,95.03,86.64
REC-22575562,2024-04-22,6077,85.38,64.32
REC-41227216,2020-05-29,3257,98.21,84.97
REC-90801586,2023-04-04,1406,91.41,92.72
REC-85329037,2019-12-09,5332,85.97,70.16
REC-97226012,2019-12-03,5349,92.96,77.91
REC-66306997,2020-06-19,9439,92.62,87.83
REC-70291817,2021-07-12,8255,96.03,68.36
REC-10872248,2021-08-24,3270,95.51,93.87
REC-66722344,2023-12-20,5073,93.23,87.68
REC-47295260,2019-11-23,8150,94.54,70.02
REC-38898923,2024-06-10,7783,85.36,85.82
REC-23718431,2021-05-11,1080,87.86,70.74
REC-60992979,2024-04-21,884,97.73,65.46
REC-58181396,2023-03-28,8273,96.94,95.6
REC-91030736,2021-07-17,3954,90.4,65.08
REC-15831819,2023-06-28,735,95.72,61.64
REC-81971316,2022-01-13,5337,95.72,86.41
REC-60806024,2019-09-22,5288,86.41,72.46
REC-84093639,2021-01-10,7490,85.23,97.34
REC-94374605,2023-04-07,4100,97.17,92.83
REC-87490893,2022-07-25,6848,97.67,60.93
REC-19335534,2022-01-12,2886,99.86,76.5
REC-98753260,2020-12-28,828,89.8,95.82
REC-48840994,2021-07-01,7292,93.31,68.51
REC-41244663,2022-07-13,7341,97.55,94.67
REC-61019678,2020-07-15,8802,98.62,83.68
REC-70855700,2020-06-16,6719,96.51,92.91
REC-31831063,2022-11-25,5448,88.79,87.82
REC-57683626,2020-06-28,767,90.03,66.79
REC-99949389,2022-09-21,1024,87.0,63.05
REC-96977837,2022-08-05,7549,90.71,98.8
REC-91756179,2021-12-01,7240,95.89,90.28
REC-81691040,2020-01-14,349,92.8,90.89
REC-31931511,2023-07-30,6981,90.26,83.6
REC-60929647,2024-03-25,6427,97.63,90.76
REC-95899313,2020-09-23,9191,87.73,73.83
REC-53524491,2022-11-21,623,88.1,74.57
REC-40742311,2020-05-03,1376,99.79,81.46
REC-52339391,2024-05-13,1631,86.61,77.9
REC-45935572,2022-02-28,9895,90.33,85.95
REC-38317637,2022-09-29,976,89.96,97.35
REC-38538251,2024-07-30,4424,99.74,64.48
REC-63100814,2021-04-21,6569,99.52,88.44
REC-29175900,2020-04-05,109,93.23,81.96
REC-28740864,2020-01-22,335,91.13,97.32
REC-85345555,2021-08-10,2998,94.98,80.92
REC-45264581,2022-02-17,1348,90.87,81.27
REC-88320463,2020-05-06,1022,96.83,66.07
REC-58586340,2021-08-25,6459,94.06,80.09
REC-28566572,2020-07-11,6266,91.93,97.89
REC-76238574,2022-11-26,8895,90.62,62.76
REC-16323852,2022-01-12,6614,93.87,75.96
REC-30514014,2023-07-11,3700,93.81,61.31
REC-66661351,2022-10-09,3532,87.23,76.58
REC-61642594,2021-01-19,8577,97.55,83.5
REC-89978790,2022-10-26,6405,91.13,61.02
REC-81016525,2022-09-09,3775,88.57,63.98
REC-84252722,2021-06-13,4342,86.84,95.06
REC-25374874,2021-12-09,7183,88.29,98.98
