record_id,date,returns,customer_complaints,shipping_time_days,delivery_accuracy,transportation_costs
REC-95822412,2020-08-12,74,23,3.0,91.43,6543.8
REC-13356886,2019-11-18,58,41,1.28,99.74,2404.44
REC-42868828,2022-01-03,59,13,5.85,93.05,1066.95
REC-28728463,2021-10-01,3,28,6.82,97.75,9401.04
REC-83197857,2021-07-26,25,24,2.69,95.43,1495.15
REC-89254563,2020-11-08,4,41,3.15,91.16,8644.72
REC-14265799,2020-07-16,46,13,6.09,97.22,2436.25
REC-22575562,2024-04-22,93,36,2.5,94.1,7579.96
REC-41227216,2020-05-29,83,29,6.3,93.24,1308.67
REC-90801586,2023-04-04,36,32,1.72,93.38,9434.81
REC-85329037,2019-12-09,55,16,2.6,99.77,4169.27
REC-97226012,2019-12-03,16,37,3.21,96.32,6371.94
REC-66306997,2020-06-19,18,19,4.87,91.74,6940.28
REC-70291817,2021-07-12,59,48,2.45,90.93,8982.44
REC-10872248,2021-08-24,71,35,6.39,96.06,191.05
REC-66722344,2023-12-20,20,47,5.48,96.5,8507.31
REC-47295260,2019-11-23,26,33,3.1,96.45,6722.35
REC-38898923,2024-06-10,98,40,6.72,93.31,5572.37
REC-23718431,2021-05-11,66,39,1.42,92.09,6744.32
REC-60992979,2024-04-21,49,24,4.67,90.82,151.33
REC-58181396,2023-03-28,85,24,1.93,99.82,8405.44
REC-91030736,2021-07-17,67,5,1.31,95.31,5452.29
REC-15831819,2023-06-28,89,22,3.57,96.88,676.12
REC-81971316,2022-01-13,21,28,3.52,92.48,3624.13
REC-60806024,2019-09-22,84,38,3.08,94.65,6532.76
REC-84093639,2021-01-10,79,1,1.16,95.86,9408.28
REC-94374605,2023-04-07,28,12,2.29,93.77,485.74
REC-87490893,2022-07-25,74,28,1.24,94.18,9679.05
REC-19335534,2022-01-12,36,11,3.57,97.51,7569.97
REC-98753260,2020-12-28,70,27,6.7,99.51,5777.04
REC-48840994,2021-07-01,57,38,6.98,90.56,7396.65
REC-41244663,2022-07-13,26,1,1.49,90.85,9867.73
REC-61019678,2020-07-15,38,26,2.49,93.3,4401.07
REC-70855700,2020-06-16,24,32,2.34,99.63,220.33
REC-31831063,2022-11-25,0,2,6.41,90.45,2881.54
REC-57683626,2020-06-28,40,35,6.92,96.98,5407.35
REC-99949389,2022-09-21,9,29,6.2,90.45,361.03
REC-96977837,2022-08-05,0,20,1.34,98.65,8147.72
REC-91756179,2021-12-01,44,12,2.24,98.78,7594.29
REC-81691040,2020-01-14,93,16,1.8,90.29,7575.86
REC-31931511,2023-07-30,37,32,5.7,93.97,6258.66
REC-60929647,2024-03-25,42,47,3.05,95.37,4655.18
REC-95899313,2020-09-23,50,18,5.93,93.45,3541.43
REC-53524491,2022-11-21,85,46,4.07,91.57,3835.13
REC-40742311,2020-05-03,1,44,1.37,91.48,1417.86
REC-52339391,2024-05-13,73,38,2.93,92.11,3342.22
REC-45935572,2022-02-28,39,48,4.39,93.79,3440.72
REC-38317637,2022-09-29,93,10,1.53,98.06,650.97
REC-38538251,2024-07-30,93,37,5.01,99.29,5611.95
REC-63100814,2021-04-21,13,37,4.49,91.54,4863.29
REC-29175900,2020-04-05,72,16,1.7,94.73,6100.41
REC-28740864,2020-01-22,63,21,1.29,97.82,8296.61
REC-85345555,2021-08-10,38,39,3.26,94.63,3083.64
REC-45264581,2022-02-17,66,6,5.38,96.94,1750.63
REC-88320463,2020-05-06,85,1,5.57,98.77,3486.61
