record_id,date,production_line_efficiency,downtime_hours,yield_rate,defect_rate
REC-95822412,2020-08-12,93.39,5.97,88.92,0.5
REC-13356886,2019-11-18,79.13,5.25,88.64,1.46
REC-42868828,2022-01-03,88.23,1.71,81.3,4.74
REC-28728463,2021-10-01,77.76,6.63,86.23,2.6
REC-83197857,2021-07-26,79.76,3.89,85.43,4.14
REC-89254563,2020-11-08,70.42,1.99,94.23,3.95
REC-14265799,2020-07-16,87.74,2.75,91.22,1.91
REC-22575562,2024-04-22,70.94,6.36,86.29,2.54
REC-41227216,2020-05-29,78.87,1.05,89.13,1.09
REC-90801586,2023-04-04,95.82,0.07,90.21,2.09
REC-85329037,2019-12-09,77.41,6.96,94.25,0.74
REC-97226012,2019-12-03,86.59,5.93,81.62,1.85
REC-66306997,2020-06-19,95.75,3.26,84.4,3.56
REC-70291817,2021-07-12,86.24,6.96,84.57,0.87
REC-10872248,2021-08-24,95.69,4.05,97.76,4.25
REC-66722344,2023-12-20,89.56,2.24,94.24,1.19
REC-47295260,2019-11-23,87.7,9.79,89.73,4.53
REC-38898923,2024-06-10,75.31,9.4,99.08,4.57
REC-23718431,2021-05-11,84.56,3.73,87.89,4.22
REC-60992979,2024-04-21,91.27,5.53,85.93,2.1
REC-58181396,2023-03-28,80.14,3.76,81.88,2.89
REC-91030736,2021-07-17,85.67,7.7,84.32,3.11
REC-15831819,2023-06-28,81.96,4.34,94.88,1.25
REC-81971316,2022-01-13,78.4,9.55,94.76,2.77
REC-60806024,2019-09-22,99.39,1.75,80.34,3.82
REC-84093639,2021-01-10,85.03,5.39,93.68,3.08
REC-94374605,2023-04-07,88.78,8.2,93.03,1.03
REC-87490893,2022-07-25,94.43,2.82,82.36,3.48
REC-19335534,2022-01-12,81.16,7.76,86.82,4.65
REC-98753260,2020-12-28,81.68,0.11,98.11,0.46
REC-48840994,2021-07-01,98.39,7.81,82.27,4.65
REC-41244663,2022-07-13,95.15,4.26,84.45,1.98
REC-61019678,2020-07-15,80.51,7.08,89.63,1.89
REC-70855700,2020-06-16,92.33,6.81,84.75,2.0
REC-31831063,2022-11-25,72.26,1.66,84.34,1.47
REC-57683626,2020-06-28,89.41,3.88,84.59,1.33
REC-99949389,2022-09-21,98.22,4.17,91.62,4.6
REC-96977837,2022-08-05,95.26,8.38,89.37,2.07
REC-91756179,2021-12-01,81.34,2.41,84.1,1.26
REC-81691040,2020-01-14,85.6,8.52,91.04,2.8
REC-31931511,2023-07-30,81.77,4.37,98.08,1.74
REC-60929647,2024-03-25,71.99,0.46,92.42,1.74
REC-95899313,2020-09-23,96.9,4.74,93.35,0.86
REC-53524491,2022-11-21,85.1,6.9,80.79,4.0
REC-40742311,2020-05-03,97.72,2.36,95.2,2.66
REC-52339391,2024-05-13,85.98,2.42,85.38,1.89
REC-45935572,2022-02-28,84.39,5.84,94.74,2.79
REC-38317637,2022-09-29,70.23,2.25,87.31,2.44
REC-38538251,2024-07-30,81.94,9.69,97.31,4.09
REC-63100814,2021-04-21,75.99,7.36,90.6,3.54
REC-29175900,2020-04-05,76.05,6.85,81.76,0.69
REC-28740864,2020-01-22,99.73,2.05,87.58,4.63
REC-85345555,2021-08-10,80.76,8.77,87.85,4.08
REC-45264581,2022-02-17,72.0,2.29,90.86,2.16
REC-88320463,2020-05-06,79.35,2.48,94.88,0.17
REC-58586340,2021-08-25,86.2,4.86,88.18,3.86
REC-28566572,2020-07-11,74.6,5.86,90.12,3.06
REC-76238574,2022-11-26,72.32,1.04,96.81,4.55
REC-16323852,2022-01-12,71.64,3.35,96.06,0.02
REC-30514014,2023-07-11,97.38,2.48,91.55,0.83
REC-66661351,2022-10-09,72.56,9.97,90.04,2.98
REC-61642594,2021-01-19,78.82,7.14,90.55,2.67
REC-89978790,2022-10-26,74.68,7.16,93.18,0.14
REC-81016525,2022-09-09,77.3,7.22,97.11,4.15
REC-84252722,2021-06-13,89.29,7.04,98.21,3.12
REC-25374874,2021-12-09,93.39,1.14,91.32,4.93
REC-45812670,2020-04-10,73.97,9.01,93.82,3.42
REC-24972279,2021-02-14,77.91,2.66,94.64,1.25
REC-68353204,2024-03-18,88.09,2.45,87.79,1.44
REC-70897765,2021-10-01,77.87,5.95,81.03,2.48
REC-45351479,2021-01-21,72.33,0.02,99.35,0.03
REC-33978249,2023-08-08,91.97,8.07,93.18,3.46
REC-24282218,2022-11-23,86.67,4.73,86.26,0.6
REC-95758349,2021-12-18,71.11,5.96,84.6,0.6
REC-91734598,2024-05-28,85.61,4.27,97.53,2.09
REC-30513739,2021-07-15,82.06,4.8,92.55,4.37
REC-31682744,2022-06-05,71.26,0.18,99.75,2.14
REC-81182864,2020-02-22,88.4,1.67,99.82,1.16
REC-90388981,2021-08-13,88.89,2.16,90.37,2.99
REC-75579548,2019-12-10,87.4,0.91,97.55,1.33
REC-25014631,2022-05-09,70.15,6.96,80.98,2.66
REC-51273847,2023-01-30,86.31,8.64,94.68,2.61
REC-17774584,2021-12-11,96.45,9.61,89.31,4.4
REC-86149359,2020-03-25,88.51,9.81,92.64,1.3
REC-21496211,2021-06-18,73.08,9.37,93.76,0.34
REC-19289546,2024-06-29,92.49,1.3,95.17,0.12
REC-26879290,2022-05-06,95.63,5.27,96.52,1.49
REC-98550256,2021-06-23,89.16,3.98,85.48,4.92
REC-83793389,2023-12-01,76.11,0.91,83.07,2.27
REC-45575298,2023-01-13,88.22,2.48,91.17,1.13
REC-91415657,2023-07-28,99.24,7.22,93.14,3.79
REC-38427073,2020-11-18,79.79,5.18,81.76,1.75
REC-36998038,2021-12-02,98.55,1.24,97.92,2.97
REC-63551839,2020-11-08,86.59,5.97,95.68,2.4
