record_id,date,employee_id,employee_productivity,labor_costs,hours_worked
REC-95822412,2020-08-12,EMP-2824,63.38,92199.88,57.54
REC-13356886,2019-11-18,EMP-5506,65.44,81838.6,35.3
REC-42868828,2022-01-03,EMP-4657,101.05,64015.25,24.88
REC-28728463,2021-10-01,EMP-2679,113.69,79790.0,56.87
REC-83197857,2021-07-26,EMP-2424,108.13,27455.06,59.48
REC-89254563,2020-11-08,EMP-7912,97.4,53089.8,22.54
REC-14265799,2020-07-16,EMP-1488,75.36,24043.36,48.43
REC-22575562,2024-04-22,EMP-4582,73.73,27697.99,31.59
REC-41227216,2020-05-29,EMP-9279,81.38,110682.84,30.89
REC-90801586,2023-04-04,EMP-1434,79.39,71879.06,48.12
REC-85329037,2019-12-09,EMP-4257,61.98,54507.12,45.37
REC-97226012,2019-12-03,EMP-9928,92.15,29028.98,53.41
REC-66306997,2020-06-19,EMP-4611,83.2,113673.0,25.5
REC-70291817,2021-07-12,EMP-5557,114.03,83310.15,33.56
REC-10872248,2021-08-24,EMP-3615,66.09,86350.18,20.2
REC-66722344,2023-12-20,EMP-6574,99.46,76830.86,23.75
REC-47295260,2019-11-23,EMP-3547,111.85,43018.53,39.97
REC-38898923,2024-06-10,EMP-6514,94.34,118033.16,23.01
REC-23718431,2021-05-11,EMP-2519,81.52,45416.36,31.81
REC-60992979,2024-04-21,EMP-2584,97.67,39427.4,22.84
REC-58181396,2023-03-28,EMP-6635,111.62,45025.14,21.55
REC-91030736,2021-07-17,EMP-5333,98.25,92609.13,59.03
REC-15831819,2023-06-28,EMP-8527,114.91,64235.22,29.59
REC-81971316,2022-01-13,EMP-3045,105.47,21439.35,24.64
REC-60806024,2019-09-22,EMP-2291,62.88,114914.57,55.47
REC-84093639,2021-01-10,EMP-5803,94.53,58816.99,45.73
REC-94374605,2023-04-07,EMP-6925,97.1,53655.42,46.23
REC-87490893,2022-07-25,EMP-4150,92.88,62347.09,42.74
REC-19335534,2022-01-12,EMP-1750,66.19,110255.29,40.21
REC-98753260,2020-12-28,EMP-4733,97.91,64844.55,31.73
REC-48840994,2021-07-01,EMP-2307,92.75,90583.15,58.75
REC-41244663,2022-07-13,EMP-2654,82.46,57064.21,52.51
REC-61019678,2020-07-15,EMP-5554,75.22,60520.21,42.86
REC-70855700,2020-06-16,EMP-6977,118.19,24315.99,55.65
REC-31831063,2022-11-25,EMP-7065,117.02,109026.38,38.23
REC-57683626,2020-06-28,EMP-4432,78.57,101379.5,47.39
REC-99949389,2022-09-21,EMP-5374,82.59,101055.33,59.49
REC-96977837,2022-08-05,EMP-2169,119.98,119663.68,42.22
REC-91756179,2021-12-01,EMP-3803,62.81,46867.25,20.89
REC-81691040,2020-01-14,EMP-5010,97.22,90407.98,28.52
REC-31931511,2023-07-30,EMP-8573,111.74,114952.06,25.88
REC-60929647,2024-03-25,EMP-5422,95.09,60030.05,47.91
REC-95899313,2020-09-23,EMP-4598,61.91,74871.53,41.38
REC-53524491,2022-11-21,EMP-1916,60.16,106830.11,23.38
REC-40742311,2020-05-03,EMP-1525,101.23,104444.07,49.98
REC-52339391,2024-05-13,EMP-7572,67.19,109052.73,43.74
REC-45935572,2022-02-28,EMP-2084,113.98,80755.52,29.77
REC-38317637,2022-09-29,EMP-6155,110.54,25163.55,20.73
REC-38538251,2024-07-30,EMP-9179,94.3,47997.91,50.78
REC-63100814,2021-04-21,EMP-8517,91.96,25182.35,33.46
REC-29175900,2020-04-05,EMP-5339,107.66,30669.93,54.03
